 ,KCA,Key Sensitivity,Privacy,DPR,CCA,Fitness,Concealing Ratio,Secrecy,Data Conservation Percentage
0,0.133834925,0.182354524,0.866165075,0.461538462,0.133834925,0.080881919,0.461538462,1.006075609,53.84615385
10,0.095641039,0.159453879,0.904358961,0.538461538,0.095641039,0.0550876,0.538461538,0.879729523,46.15384615
20,0.095641312,0.159449742,0.904358688,0.538461538,0.095641312,0.0550876,0.538461538,0.879706695,46.15384615
30,0.095641312,0.159449748,0.904358688,0.538461538,0.095641312,0.0550876,0.538461538,0.87970673,46.15384615
40,0.095641312,0.159449748,0.904358688,0.538461538,0.095641312,0.0550876,0.538461538,0.87970673,46.15384615
